Date,Alaska,Arizona
2020-01-23,,
2020-01-24,,
2020-01-25,,
2020-01-26,,inf
2020-01-27,,0.0
2020-01-28,,0.0
2020-01-29,,0.0
2020-01-30,,0.0
2020-01-31,,0.0
2020-02-01,,0.0
2020-02-02,,0.0
2020-02-03,,0.0
2020-02-04,,0.0
2020-02-05,,0.0
2020-02-06,,0.0
2020-02-07,,0.0
2020-02-08,,0.0
2020-02-09,,0.0
2020-02-10,,0.0
2020-02-11,,0.0
2020-02-12,,0.0
2020-02-13,,0.0
2020-02-14,,0.0
2020-02-15,,0.0
2020-02-16,,0.0
2020-02-17,,0.0
2020-02-18,,0.0
2020-02-19,,0.0
2020-02-20,,0.0
2020-02-21,,0.0
2020-02-22,,0.0
2020-02-23,,0.0
2020-02-24,,0.0
2020-02-25,,0.0
2020-02-26,,0.0
2020-02-27,,0.0
2020-02-28,,0.0
2020-02-29,,0.0
2020-03-01,,0.0
2020-03-02,,0.0
2020-03-03,,0.0
2020-03-04,,0.0
2020-03-05,,0.0
2020-03-06,,1.0
2020-03-07,,1.0
2020-03-08,,0.0
2020-03-09,,0.0
2020-03-10,,0.5
2020-03-11,,0.5
2020-03-12,,0.0
2020-03-13,inf,0.0
2020-03-14,0.0,0.33333333333333326
2020-03-15,0.0,0.0
2020-03-16,0.0,0.5
2020-03-17,3.0,0.11111111111111116
2020-03-18,1.25,0.3500000000000001
2020-03-19,0.33333333333333326,0.6666666666666667
2020-03-20,0.25,0.5111111111111111
2020-03-21,0.06666666666666665,0.5294117647058822
2020-03-22,0.625,0.46153846153846145
2020-03-23,0.5,0.5460526315789473
2020-03-24,0.10256410256410264,0.3872340425531915
2020-03-25,0.16279069767441867,0.23006134969325154
2020-03-26,0.28,0.2668329177057356
2020-03-27,0.171875,0.3090551181102361
2020-03-28,0.22666666666666657,0.1624060150375939
2020-03-29,0.2065217391304348,0.18887451487710227
2020-03-30,0.072072072072072,0.2589771490750816
2020-03-31,0.08403361344537807,0.11408815903197933
2020-04-01,0.10077519379844957,0.09619860356865795
2020-04-02,0.05633802816901401,0.1295116772823779
2020-04-03,0.07333333333333325,0.10839598997493738
2020-04-04,0.06832298136645965,0.14132278123233455
2020-04-05,0.08720930232558133,0.12382367508667658
2020-04-06,0.03208556149732611,0.0841780520052886
2020-04-07,0.11398963730569944,0.04674796747967469
2020-04-08,0.0604651162790697,0.05864077669902912
2020-04-09,0.04385964912280693,0.10711665443873808
2020-04-10,0.04621848739495804,0.031146454605699203
2020-04-11,0.04819277108433728,0.09029562982005146
2020-04-12,0.05747126436781613,0.04391394046566455
2020-04-13,0.018115942028985588,0.04601919819311129
2020-04-14,0.028469750889679624,0.02807017543859658
2020-04-15,0.02768166089965396,0.04069309530060394
2020-04-16,0.026936026936027035,0.0688698284561049
2020-04-17,0.029508196721311553,0.0646683974510267
2020-04-18,0.015923566878981,0.04721791177122592
2020-04-19,0.01567398119122254,0.04424216765453015
2020-04-20,0.006172839506172867,0.02736671396715984
2020-04-21,0.024539877300613577,0.03709550118389893
2020-04-22,0.017964071856287456,0.04128614916286155
2020-04-23,0.00588235294117645,0.05463182897862229
2020-04-24,0.005847953216374213,0.04729729729729737
2020-04-25,0.0,0.03986765922249802
2020-04-26,0.005813953488372103,0.039452752147629555
2020-04-27,0.011560693641618602,0.029231711049892972
2020-04-28,0.017142857142857126,0.03420074349442381
2020-04-29,0.011235955056179803,0.03652048885693748
2020-04-30,0.0,0.06186711055624916
2020-05-01,0.02499999999999991,0.04101894186805999
2020-05-02,0.0027100271002709064,0.04956707240557168
2020-05-03,0.008108108108108025,0.03299856527977041
2020-05-04,0.00536193029490617,0.03287037037037033
2020-05-05,0.002666666666666595,0.04269385925593894
2020-05-06,0.0026595744680850686,0.04320257925846316
2020-05-07,0.007957559681697646,0.024518388791593626
2020-05-08,0.007894736842105177,0.05842131724484667
2020-05-09,0.005221932114882533,0.04123123693710817
2020-05-10,0.0025974025974024872,0.014507299270072993
2020-05-11,0.005181347150259086,0.023743142368918058
2020-05-12,0.005154639175257714,0.03101115698849166
2020-05-13,0.002564102564102555,0.04089979550102241
2020-05-14,0.01278772378516635,0.037491814014407376
2020-05-15,0.005050505050504972,0.039056335805586206
2020-05-16,0.012562814070351758,0.03774014731566555
2020-05-17,0.012406947890818865,0.02041563003073321
2020-05-18,0.007352941176470562,0.01885980638221585
2020-05-19,0.0,0.025900900900900803
2020-05-20,0.012165450121654597,0.02263995609220637
2020-05-21,0.0,0.029652488930631993
2020-05-22,0.004807692307692291,0.01798279906176692
2020-05-23,0.011961722488038173,0.027457757296466934
2020-05-24,0.0,0.020183143337694
2020-05-25,0.007092198581560183,0.012090126396775869
2020-05-26,0.009389671361502261,0.017435897435897463
2020-05-27,0.0023255813953488857,0.02692125237191645
2020-05-28,0.030162412993039345,0.032278554105555024
2020-05-29,0.013513513513513598,0.03328298931588081
2020-05-30,0.011111111111111072,0.042550887830229644
2020-05-31,0.06373626373626373,0.03520614809429845
2020-06-01,0.01446280991735538,0.009680979133226408
2020-06-02,0.042769857433808456,0.056386308311391575
2020-06-03,0.037109375,0.05135440180586914
2020-06-04,0.052730696798493515,0.0237072821613884
2020-06-05,0.023255813953488413,0.06785807917504161
2020-06-06,0.02447552447552437,0.0414092229632963
2020-06-07,0.015358361774743923,0.060429845585635134
2020-06-08,0.031932773109243806,0.025528919189299337
2020-06-09,0.021172638436482094,0.02232820290483417
2020-06-10,0.03508771929824572,0.05499010460842513
2020-06-11,0.04160246533127898,0.04740050917861449
