Date,Chicot,Carroll
2020-07-19,0.01984126984126977,0.03053435114503822
2020-07-20,0.011673151750972721,0.059259259259259345
2020-07-21,0.01538461538461533,0.0174825174825175
2020-07-22,0.007575757575757569,0.010309278350515427
2020-07-23,0.06015037593984962,0.03401360544217691
2020-07-24,0.007092198581560183,0.016447368421052655
2020-07-25,0.028169014084507005,0.016181229773462702
2020-07-26,0.047945205479452024,0.02547770700636942
2020-07-27,0.06209150326797386,0.009316770186335477
2020-07-28,0.01846153846153853,0.009230769230769154
2020-07-29,0.45921450151057397,0.009146341463414531
2020-07-30,0.03105590062111796,0.0
2020-07-31,0.016064257028112428,0.0
2020-08-01,0.031620553359683834,0.01812688821752273
2020-08-02,0.013409961685823646,0.008902077151335286
2020-08-03,0.013232514177693666,0.0
2020-08-04,0.029850746268656803,0.002941176470588225
2020-08-05,0.2681159420289856,0.014662756598240456
2020-08-06,0.010000000000000009,0.011560693641618602
2020-08-07,0.01555869872701554,0.0
2020-08-08,0.01532033426183843,0.008571428571428674
2020-08-09,0.005486968449931462,0.0028328611898016387
2020-08-10,0.008185538881309684,0.01412429378531077
2020-08-11,-0.004059539918809252,0.055710306406685284
2020-08-12,0.0027173913043478937,0.0
2020-08-13,0.01084010840108407,0.0026385224274405594
2020-08-14,0.18900804289544237,0.0
2020-08-15,0.036076662908681056,0.007894736842105177
2020-08-16,0.0021762785636560977,0.023498694516971286
2020-08-17,0.004343105320304019,0.007653061224489832
2020-08-18,0.00108108108108107,0.0151898734177216
2020-08-19,0.005399568034557323,0.0174563591022443
2020-08-20,0.0010741138560688146,0.002450980392156854
2020-08-21,0.0010729613733906351,0.0317848410757946
2020-08-22,0.002143622722400762,0.016587677725118377
2020-08-23,0.0032085561497325887,0.006993006993007089
2020-08-24,0.0010660980810235365,0.0092592592592593
2020-08-25,0.0,0.002293577981651307
2020-08-26,0.004259850905218299,0.011441647597254079
2020-08-27,0.005302226935312904,0.013574660633484115
2020-08-28,0.007383966244725704,0.015625
2020-08-29,0.003141361256544517,0.00879120879120876
2020-08-30,0.0041753653444676075,0.013071895424836555
2020-08-31,0.0,0.008602150537634357
2020-09-01,0.0,0.002132196162046851
2020-09-02,0.0010395010395010118,0.008510638297872353
2020-09-03,0.0010384215991692258,0.010548523206751037
2020-09-04,0.004149377593360981,0.006263048016701411
2020-09-05,0.0010330578512396382,0.008298755186721962
2020-09-06,0.0,0.030864197530864113
2020-09-07,0.0,0.003992015968063978
2020-09-08,0.0010319917440659854,0.005964214711729587
2020-09-09,0.0,0.01778656126482203
2020-09-10,0.0,0.005825242718446644
2020-09-11,0.003092783505154628,0.03861003861003853
2020-09-12,0.0030832476875641834,0.009293680297397744
2020-09-13,0.0,0.005524861878453136
2020-09-14,0.0,0.016483516483516425
2020-09-15,0.0010245901639345245,0.03243243243243232
2020-09-16,0.00921187308085969,0.015706806282722585
2020-09-17,0.005070993914807254,0.020618556701030855
2020-09-18,0.0,0.008417508417508435
2020-09-19,0.0010090817356205317,0.008347245409014992
2020-09-20,0.002016129032258007,0.013245033112582849
2020-09-21,0.001006036217303885,0.0212418300653594
2020-09-22,0.0030150753768845018,0.0047999999999999154
2020-09-23,0.0030060120240480437,0.0031847133757962887
2020-09-24,0.0029970029970030065,0.014285714285714235
2020-09-25,0.0,0.017214397496087663
2020-09-26,0.0009960159362549792,0.003076923076922977
2020-09-27,0.0009950248756218638,0.019938650306748462
2020-09-28,0.0,0.010526315789473717
2020-09-29,0.0009940357852882276,0.023809523809523725
2020-09-30,0.0,0.03197674418604657
2020-10-01,0.0019860973187686426,0.021126760563380254
2020-10-02,0.003964321110009994,0.02344827586206888
2020-10-03,0.0,0.005390835579514919
2020-10-04,0.0,0.014745308310991856
2020-10-05,0.0,0.0026420079260238705
2020-10-06,0.000987166831194486,0.015810276679841806
2020-10-07,0.0009861932938854956,0.005188067444876765
2020-10-08,0.0009852216748769127,0.02709677419354839
2020-10-09,0.0009842519685039353,0.06030150753768848
2020-10-10,0.000983284169124854,0.0023696682464455776
2020-10-11,0.0,0.014184397163120588
